"","GSM1111672","GSM1111673","GSM1111674","GSM1111675","GSM1111676","GSM1111677","GSM1111678","GSM1111679","GSM1111680","GSM1111681","GSM1111682","GSM1111683","GSM1111684","GSM1111685","GSM1111686","GSM1111687","GSM1111688","GSM1111689","GSM1111690","GSM1111691","GSM1111692","GSM1111693","GSM1111694","GSM1111695","GSM1111696","GSM1111697","GSM1111698","GSM1111699"
"NGF",2.36766813516171,3.36097694847604,2.36766813516171,3.92429432025912,2.6982993182641,5.97700984786135,2.6982993182641,3.36097694847604,2.8804878814547,4.73477456212042,6.14548848531689,2.8804878814547,4.14357038411839,4.04116610899177,3.2304597571774,4.27070400368978,5.14643494143048,5.24049659707305,6.54351377162901,5.72948070014337,4.64466391959453,4.04116610899177,7.02668771306684,6.14548848531689,5.97700984786135,5.66169317691812,6.14548848531689,4.27070400368978
"IL32",4.35515172420657,5.44690301245972,4.27070400368978,4.04116610899177,5.93141765096913,7.20270488689434,5.44690301245972,5.04578021092817,4.64466391959453,4.53333144757485,6.25357951246023,5.60099111598959,5.44690301245972,4.14357038411839,4.35515172420657,4.87362692188611,7.49989917366364,7.66933666342197,7.13140747464961,7.27152492379193,8.30541619727797,7.35971980837028,7.62363491216354,4.44591472531685,7.35971980837028,5.24049659707305,5.39228061113858,6.54351377162901
"OASL",8.30541619727797,10.8642588424843,9.59889196507624,10.1448340073082,7.93636659970418,8.30541619727797,9.96841492020268,8.78133061404927,10.0529698706895,7.4329845774207,9.59889196507624,9.40473664972491,10.0529698706895,9.25065592073294,9.25065592073294,8.23889053025913,9.96841492020268,10.9637645556013,9.09276871952674,8.59372133484302,11.5942260171332,10.4983457394914,10.4097501683777,9.59889196507624,11.3912974174726,11.3912974174726,10.7790363572359,9.85852948743486
"MMP9",8.73928779997407,9.02842836766652,10.5984929624289,9.70466804269766,9.96841492020268,11.724540284293,10.7790363572359,8.37323159823968,10.7790363572359,9.48077760934528,8.73928779997407,9.32887252866612,8.48787081697692,9.70466804269766,9.85852948743486,10.0529698706895,9.70466804269766,10.2293353653765,11.8889440007443,11.4834868613102,11.4834868613102,10.0529698706895,9.96841492020268,8.54422522622764,11.0623937373229,11.3028147173785,11.5942260171332,11.0623937373229
"CHP2",8.48787081697692,5.66169317691812,6.96532864135124,5.8720593892552,3.36097694847604,5.50999423491217,7.74657053804289,7.06933014138101,6.90322423620484,6.20232883853966,3.36097694847604,5.80837911338918,3.45634497387847,8.37323159823968,7.06933014138101,8.30541619727797,6.71584555762645,4.35515172420657,5.8720593892552,5.93141765096913,2.99566911706312,5.50999423491217,4.87362692188611,5.04578021092817,3.67192299926476,2.99566911706312,5.66169317691812,5.39228061113858
"BMP4",3.36097694847604,3.67192299926476,4.14357038411839,7.27152492379193,3.11466937780291,4.73477456212042,4.27070400368978,5.60099111598959,2.99566911706312,5.50999423491217,8.0151769191336,3.11466937780291,2.6982993182641,8.23889053025913,7.13140747464961,6.71584555762645,3.2304597571774,3.11466937780291,2.54617261038008,3.2304597571774,3.2304597571774,3.45634497387847,2.8804878814547,3.82261600525681,2.6982993182641,3.67192299926476,4.87362692188611,4.35515172420657
"TNFRSF12A",6.59900342435835,8.59372133484302,11.3028147173785,9.85852948743486,9.54227809824184,12.2183546232294,8.48787081697692,8.67105697467502,9.02842836766652,9.02842836766652,11.8103143715946,8.59372133484302,8.85612126614704,7.83645697998813,8.93153532726213,9.32887252866612,11.0623937373229,11.9930392999038,11.5942260171332,10.9637645556013,10.8642588424843,10.4097501683777,8.93153532726213,7.83645697998813,10.9637645556013,10.7790363572359,11.4834868613102,11.724540284293
"IL12RB2",6.20232883853966,9.09276871952674,7.02668771306684,5.72948070014337,6.59900342435835,7.06933014138101,6.54351377162901,7.35971980837028,7.27152492379193,4.95353044066034,6.31361507350321,5.50999423491217,7.62363491216354,5.24049659707305,6.59900342435835,5.04578021092817,7.13140747464961,9.70466804269766,8.48787081697692,9.09276871952674,8.20152006836885,5.33396894741694,6.25357951246023,8.20152006836885,7.74657053804289,6.81472726642163,7.35971980837028,6.71584555762645
"OSGIN1",8.06210421690827,5.33396894741694,7.35971980837028,6.71584555762645,6.31361507350321,4.87362692188611,5.93141765096913,3.55968530252012,4.04116610899177,7.27152492379193,6.08371782612407,5.8720593892552,4.73477456212042,5.39228061113858,8.06210421690827,7.35971980837028,6.14548848531689,5.14643494143048,5.93141765096913,2.99566911706312,4.53333144757485,5.04578021092817,3.55968530252012,4.73477456212042,3.11466937780291,6.31361507350321,6.02978935059414,6.66770252306054
"POMC",7.27152492379193,5.14643494143048,3.55968530252012,6.36900894468414,6.66770252306054,3.36097694847604,4.14357038411839,7.02668771306684,5.97700984786135,6.49021615552396,3.45634497387847,5.14643494143048,5.39228061113858,5.60099111598959,7.20270488689434,6.77572735305377,5.33396894741694,3.45634497387847,3.36097694847604,4.64466391959453,5.72948070014337,3.82261600525681,4.35515172420657,6.59900342435835,2.8804878814547,4.44591472531685,3.45634497387847,6.42707912609377
"PAK5",7.35971980837028,1.30127657973207,5.60099111598959,6.08371782612407,5.66169317691812,4.27070400368978,5.66169317691812,5.97700984786135,5.50999423491217,7.83645697998813,6.77572735305377,4.64466391959453,2.99566911706312,7.27152492379193,4.27070400368978,7.4329845774207,3.82261600525681,2.36766813516171,4.64466391959453,4.44591472531685,1.30127657973207,5.24049659707305,5.44690301245972,5.72948070014337,3.92429432025912,3.2304597571774,4.64466391959453,4.04116610899177
