"","GSM1111672","GSM1111673","GSM1111674","GSM1111675","GSM1111676","GSM1111677","GSM1111678","GSM1111679","GSM1111680","GSM1111681","GSM1111682","GSM1111683","GSM1111684","GSM1111685","GSM1111686","GSM1111687","GSM1111688","GSM1111689","GSM1111690","GSM1111691","GSM1111692","GSM1111693","GSM1111694","GSM1111695","GSM1111696","GSM1111697","GSM1111698","GSM1111699"
"ADAMTS9-AS2",63.2389,65.5937,54.7564,99.8079,34.1649,55.5438,76.0364,76.7607,12.0577,82.3022,58.6364,76.2979,25.8933,83.3834,83.986,101.018,80.9236,40.443,18.7418,9.00638,5.79276,14.6584,18.7942,15.7326,3.3293,25.7292,53.9141,84.6341
"LINC01121",20.4115,9.3962,7.15279,24.9496,6.9793,11.1789,38.6693,6.3774,7.4462,11.2972,11.7003,13.0293,12.6578,8.41137,9.73038,6.3536,7.34747,52.2107,51.2984,28.385,11.8244,14.1516,8.7775,8.06218,65.4006,28.0258,30.7388,27.1363
"SOX2-OT",44.5949,61.0461,178.361,269.048,31.2977,25.0706,67.9354,28.1848,38.0388,423.314,16.4687,57.2466,23.543,254.894,391.86,330.08,13.3871,69.8488,18.1948,5.07633,28.536,29.9203,17.8678,56.0644,37.6978,2.05335,15.9663,43.6666
"LINC00592",80.1234,140.557,246.965,174.785,125.401,92.7654,12.8336,197.04,138.05,235.952,317.028,91.5171,81.672,870.894,154.629,211.445,218.62,162.562,288.63,549.135,538.936,923.976,194.951,210.819,121.212,285.345,375.263,1201.14
"GRK3-AS1",22.6293,50.3436,29.0386,21.107,4.20399,35.4369,21.6702,7.06344,46.0575,27.9345,1.6167,24.5012,29.885,2.81606,13.4687,21.0367,16.1225,39.8848,6.88676,0.854279,3.65336,52.4825,2.0365,6.09213,6.17987,4.9736,3.53096,1.73881
"DELEC1",28.8557,3.40315,9.02875,23.8365,14.8121,2.12839,5.09146,26.5934,12.6629,45.4935,2.47999,22.0901,11.5288,28.7454,7.58981,23.7489,6.43164,8.07434,5.30084,10.6517,4.42107,2.10668,5.85075,4.35763,10.6733,6.59173,3.40223,4.18056
"CTD-3080P12.3",7.83995,16.8018,5.54383,83.4077,17.1412,6.86636,8.50197,14.915,22.8976,7.97222,8.75804,8.54055,3.61932,38.355,7.97705,1.99668,10.6328,21.014,29.1299,52.7196,36.6902,15.1734,7.97152,14.4652,34.0136,55.1394,25.185,8.84801
"WAKMAR2",296.163,306.336,133.527,149.197,310.857,181.503,44.6568,87.544,142.999,83.628,432.554,190.96,131.16,215.774,23.9972,141.283,367.614,276.341,580.09,676.615,471.033,686.347,239.335,95.69,334.196,259.574,105.553,297.809
"FAM167A-AS1",11.0918,6.25851,35.2087,11.1205,6.97833,3.22549,10.8629,4.55897,4.0704,198.843,24.3624,5.29852,4.40045,122.494,29.7857,9.92052,28.6733,29.3465,5.32063,5.04628,3.92207,4.26622,1.25646,4.65587,4.10003,8.15669,4.67406,4.72866
"H19",84.4592,42.8666,408.833,63.8583,130.826,51.2584,1802.52,225.471,235.658,1009.15,688.069,139.075,23.4081,533.33,229.714,314.033,3749.81,555.054,638.477,323.726,651.416,1675.7,1195.64,80.0472,11496.4,175.86,8622.9,529.38
"ZNF503-AS1",408.019,127.505,79.6603,124.414,388.962,172.786,223.858,491.437,174.5,337.803,73.7498,844.415,522.81,418.69,58.3551,177.517,221.118,290.522,156.08,170.027,14.2482,67.3547,128.387,175.693,210.644,182.947,62.0922,15.8457
"DLGAP4-AS1",52.1908,34.0894,50.4531,63.3198,57.4717,19.4312,82.8771,51.7214,54.8824,46.1672,28.9739,75.9132,5.2296,9.28165,20.4174,22.7169,7.27534,77.9178,86.7985,35.0956,106.135,34.5754,43.0137,93.2578,30.7855,88.5131,47.7208,69.0609
"SCAT1",5.52426,55.7396,156.499,7.92431,9.33208,297.838,12.9702,15.3288,88.636,41.866,85.094,66.0495,8.51285,83.7616,46.3927,5.628,75.4099,156.57,170.055,86.3753,123.038,34.3936,55.282,43.0107,39.9162,133.808,272.601,85.4925
"RNF217-AS1",61.5735,53.169,121.267,73.6676,3.46434,88.7474,19.0404,68.5967,72.7823,95.5315,45.4622,34.8059,36.5681,105.337,105.802,76.7588,63.3751,36.6383,27.4675,21.3265,14.9474,47.1416,22.9169,50.3128,20.7971,36.7803,15.6852,31.2527
"MGC12916",66.8493,54.4382,22.4369,60.0044,17.2514,78.9037,12.1834,90.0416,14.087,45.3446,61.3177,60.2536,94.549,62.9486,41.3411,12.4369,99.1337,19.9334,38.8305,10.9218,8.57773,16.5705,71.2778,88.152,12.7639,61.8691,4.89107,7.02414
"LOC101928557",15.2953,93.0965,16.0639,38.8413,17.318,96.1579,12.9056,20.7609,8.63678,4.98261,22.2929,20.635,41.4907,9.91448,3.3736,7.37157,5.34578,98.9784,101.684,19.3026,59.1391,19.4464,37.2337,97.5226,21.6188,31.7282,19.1838,9.29385
"LOC101927798",31.3987,105.067,85.6333,80.1914,67.592,17.3144,136.727,72.1438,123.525,37.3351,45.9921,16.9248,37.5726,75.6822,50.7901,26.2299,51.6495,33.3203,73.0138,37.5891,40.6027,93.1375,5.44903,63.8133,13.3453,5.68756,44.1187,5.71898
"PURPL",12.0587,2.16044,1.36952,3.96215,65.9165,6.87934,21.1658,40.9075,125.225,22.9382,1.05266,9.38824,16.4,0.678807,16.2906,14.9492,11.4796,119.313,54.158,18.828,7.0884,36.9174,40.0737,22.838,5.39737,43.7367,71.1404,14.4414
"LINC00551",293.958,253.594,31.1592,83.551,194.89,59.5235,70.8133,87.1287,25.3772,72.8191,69.0143,232.061,325.695,104.349,39.618,92.4769,139.899,136.331,43.8472,1.79926,2.71851,85.1936,68.6055,182.434,97.841,147.957,7.97763,25.2129
"IQCF5-AS1",32.6264,3.84024,4.84131,7.73277,17.1929,9.8465,7.17341,9.53003,11.9165,57.9601,2.82682,3.54309,4.57839,31.209,12.1572,7.50054,10.1649,41.9642,28.7221,22.8072,7.12304,6.96913,39.2344,67.9995,14.8723,4.26762,13.64,63.1933
"ELFN2",60.9293,91.7786,126.851,64.9872,12.8066,639.85,38.5838,43.8965,21.1296,47.3414,88.369,61.6707,33.1705,123.513,37.7712,29.2255,37.8647,457.339,79.3299,127.524,59.4583,52.9831,200.202,25.6247,382.926,260.248,71.4311,145.082
"MIR124-2HG",7.40653,7.30645,5.55732,8.41713,5.26015,31.0132,23.467,6.93461,19.2179,12.7628,55.7906,6.23915,50.4459,14.5445,7.22759,27.3344,16.4875,73.0078,24.508,35.5884,25.0918,24.0785,66.2042,3.95016,33.5419,30.7566,14.1202,40.9489
"LINC00942",1117.15,63.9854,5060.34,1754.31,29.7139,247.973,45.1268,131.869,67.9867,2002.78,44.3422,24.8341,40.7545,36.1582,108.249,56.0956,903.513,41.1168,37.763,104.21,44.1236,24.9358,88.1384,72.5054,43.1551,47.6401,118.009,52.001
"LINC01102",15.3837,2.01087,2.86156,8.81266,3.6905,3.36155,30.6288,7.59511,10.0114,6.86927,3.49316,2.06733,5.95622,5.46666,8.14471,1.77837,2.33559,6.41607,86.7226,25.2897,18.7755,3.96855,2.08359,47.0267,9.87788,5.81275,7.8612,3.62755
"FSIP2-AS2",84.5522,44.6622,156.848,84.5015,27.5522,4.30749,101.12,91.1707,200.256,428.204,62.1011,52.9344,4.67948,136.808,53.2851,61.8249,9.7249,130.601,30.0638,32.6239,3.26405,46.5753,5.71715,36.4584,47.8389,5.48885,82.3174,4.94806
"LOC101928389",63.7198,5.69917,3.53496,13.3871,59.9754,6.51646,4.1942,8.97862,2.00499,2.17859,53.273,36.8328,13.6973,37.0851,7.3653,4.19835,3.03619,15.6598,22.7314,37.5604,19.7788,47.9613,19.8938,18.5181,18.8646,62.6522,24.727,3.97243
