"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"ADAMTS9-AS2",1.7143051346296,5.22530432423518,4.12933302590079,0.000274142151512599,0.18669080518008,-0.597691494727505,"UP"
"LINC01121",-1.19582420879017,3.89793029435014,-3.67852392437958,0.000932914507025121,0.317657389642054,-1.34341459933556,"DOWN"
"LINC02877",0.879144747129594,4.45765765948477,3.13630545896429,0.00385758085132668,0.58943226930683,-2.22178819540615,"NOT"
"LINC01128",-0.702226110573006,8.53649397610041,-3.10850957187516,0.00414016954932083,0.58943226930683,-2.26578183988842,"NOT"
"SOX2-OT",1.73063008394039,5.41695579495197,2.93504807985477,0.00640129891972899,0.58943226930683,-2.53717191038107,"UP"
"LINC00592",-1.30610958075139,7.66869289645791,-2.93048479515201,0.00647425017126083,0.58943226930683,-2.54423204916523,"DOWN"
"GRK3-AS1",1.60120851292112,3.37084838167923,2.86414410314736,0.00762758612522616,0.58943226930683,-2.64637042267967,"UP"
"LINC01859",0.754208942595489,2.91388479503769,2.86090468195171,0.00768859061061693,0.58943226930683,-2.65133320356951,"NOT"
"SNHG5",0.599238631199398,12.9318035409832,2.70569432361988,0.0112117015388203,0.58943226930683,-2.88621884302252,"NOT"
"DELEC1",1.10994834833405,3.08854355302013,2.69129651097942,0.0116056577285207,0.58943226930683,-2.90770399694931,"UP"
"CTD-3080P12.3",-1.07554506931632,3.8518153769992,-2.59498214446496,0.014591145873546,0.58943226930683,-3.04999438034572,"DOWN"
"WAKMAR2",-1.04086148051664,7.66511710850674,-2.56851172558736,0.0155284683383229,0.58943226930683,-3.08864580282388,"DOWN"
"SNHG3",-0.545034548223917,8.69313047745419,-2.53833293876977,0.0166648779312268,0.58943226930683,-3.13246261066954,"NOT"
"FAM167A-AS1",1.3914932271165,3.1839889683687,2.53645367789759,0.0167381221164636,0.58943226930683,-3.13518219281215,"UP"
"H19",-1.90203507170527,8.53843136707126,-2.53603485839763,0.0167544860296376,0.58943226930683,-3.13578814571104,"DOWN"
