Gene,coef,se,HR,HR.95L,HR.95H,pvalue
LINC01121|FAM167A-AS1,0.687401341,0.252045309,1.988541273,1.213370001,3.258937003,0.006385636
ADAMTS9-AS2|MGC12916,0.863238612,0.293096535,2.370826461,1.334797987,4.210987852,0.003227079
MIR124-2HG|FAM167A-AS1,0.418990156,0.209276898,1.520425388,1.008853939,2.291405397,0.045275582
